diseaseId	name	vocabulary	code	vocabularyName
C0521620	Dilatation of ureter	HPO	HP:0000072	Uroureter
C4020897	Uroureter	HPO	HP:0000072	Uroureter
C0221365	Double ureter	HPO	HP:0000073	Ureteral duplication
C0521619	Obstruction of pelviureteric junction	HPO	HP:0000074	Ureteropelvic junction obstruction
C0266298	Accessory kidney	HPO	HP:0000075	Supernumerary kidney
C0042580	Vesico-Ureteral Reflux	HPO	HP:0000076	Vesicoureteral reflux
C0022658	Kidney Diseases	HPO	HP:0000077	Kidney disease
C0266292	Congenital anomaly of the kidney	HPO	HP:0000077	Kidney disease
C0281966	reproductive system abnormality	HPO	HP:0000078	Abnormality of the reproductive system
C0744356	genital abnormal	HPO	HP:0000078	Abnormality of the reproductive system
C4021821	Abnormality of the urinary system	HPO	HP:0000079	Abnormality of the urinary system
C1858565	Duplicated collecting system	HPO	HP:0000081	Duplicated collecting system
C0035078	Kidney Failure	HPO	HP:0000083	Renal insufficiency
C1565489	Renal Insufficiency	HPO	HP:0000083	Renal insufficiency
C1839604	Renal failure in adulthood	HPO	HP:0000083	Renal insufficiency
C0221353	Horseshoe Kidney	HPO	HP:0000085	Horseshoe kidney
C0238207	Ectopic kidney	HPO	HP:0000086	Ectopic kidney
C0266295	Congenital hypoplasia of kidney	HPO	HP:0000089	Renal hypoplasia
C0687120	Nephronophthisis	HPO	HP:0000090	Nephronophthisis
C4021826	Abnormality of the renal tubule	HPO	HP:0000091	Abnormality of the renal tubule
C1858395	Tubular atrophy	HPO	HP:0000092	Tubular atrophy
C0033687	Proteinuria	HPO	HP:0000093	Proteinuria
C0178664	Glomerulosclerosis (disorder)	HPO	HP:0000096	Glomerulosclerosis
C0017668	Focal glomerulosclerosis	HPO	HP:0000097	Focal segmental glomerulosclerosis
C0241240	Tall stature	HPO	HP:0000098	Tall stature
C0017658	Glomerulonephritis	HPO	HP:0000099	Glomerulonephritis
C0027726	Nephrotic Syndrome	HPO	HP:0000100	Nephrotic syndrome
C0032617	Polyuria	HPO	HP:0000103	Polyuria
C0542519	Congenital absence of kidney	HPO	HP:0000104	Renal agenesis
C0542518	Enlarged kidney	HPO	HP:0000105	Large kidney
C0022679	Cystic kidney	HPO	HP:0000107	Cystic kidneys
C3887499	Renal cyst	HPO	HP:0000107	Cystic kidneys
C1968619	Corticomedullary renal cysts	HPO	HP:0000108	Renal corticomedullary cysts
C1619700	RENAL ADYSPLASIA	HPO	HP:0000110	Renal dysplasia
C3536714	Renal dysplasia	HPO	HP:0000110	Renal dysplasia
C1866496	Renal juxtaglomerular cell hypertrophy/hyperplasia	HPO	HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia
C0022658	Kidney Diseases	HPO	HP:0000112	Kidney damage
C1408258	Kidney damage	HPO	HP:0000112	Kidney damage
C0022680	Polycystic Kidney Diseases	HPO	HP:0000113	Polycystic kidney dysplasia
C1567435	Polycystic Kidney - body part	HPO	HP:0000113	Polycystic kidney dysplasia
C1839603	Proximal tubulopathy	HPO	HP:0000114	Proximal tubulopathy
C1845169	Renal phosphate wasting	HPO	HP:0000117	Renal phosphate wasting
C0042063	Urogenital Abnormalities	HPO	HP:0000119	Genitourinary disease
C0080276	Disorder of the genitourinary system	HPO	HP:0000119	Genitourinary disease
C4020895	Genitourinary dysplasia	HPO	HP:0000119	Genitourinary disease
C0027709	Nephrocalcinosis	HPO	HP:0000121	Increased calcium level in kidney
C4280679	Increased calcium level in kidney	HPO	HP:0000121	Increased calcium level in kidney
C0266294	Unilateral agenesis of kidney	HPO	HP:0000122	Unilateral renal agenesis
C0027697	Nephritis	HPO	HP:0000123	Nephritis
C0151747	Renal tubular disorder	HPO	HP:0000124	Renal tubular dysfunction
C0221209	Pelvic kidney	HPO	HP:0000125	Pelvic kidney
C0020295	Hydronephrosis	HPO	HP:0000126	Hydronephrosis
C1846347	Renal salt wasting	HPO	HP:0000127	Renal salt wasting
C1846348	Renal potassium wasting	HPO	HP:0000128	Renal potassium wasting
C0266383	Uterine Anomalies	HPO	HP:0000130	Abnormality of the uterus
C0042133	Uterine Fibroids	HPO	HP:0000131	Uterine leiomyoma
C0025323	Menorrhagia	HPO	HP:0000132	Menorrhagia
C0018051	Gonadal Dysgenesis	HPO	HP:0000133	Gonadal dysgenesis
C0018055	Gonadal Dysgenesis, Mixed	HPO	HP:0000133	Gonadal dysgenesis
C0687149	Pure gonadal dysgenesis	HPO	HP:0000133	Gonadal dysgenesis
C0271578	Female hypogonadism syndrome	HPO	HP:0000134	Female hypogonadism
C0020619	Hypogonadism	HPO	HP:0000135	Hypogonadism
C1850327	Bifid uterus	HPO	HP:0000136	Bifid uterus
C0029928	Ovarian Diseases	HPO	HP:0000137	Ovarian disease
C4021818	Abnormality of the ovary	HPO	HP:0000137	Ovarian disease
C0029927	Ovarian Cysts	HPO	HP:0000138	Ovarian cyst
C0042140	Uterine Prolapse	HPO	HP:0000139	Uterine prolapse
C3549779	menstrual abnormality	HPO	HP:0000140	Menstrual abnormalities
C4025888	Abnormality of the menstrual cycle	HPO	HP:0000140	Menstrual abnormalities
C2219717	menstrual periods stopped for over 6 months	HPO	HP:0000141	Amenorrhea
C1856023	Vaginal malformation	HPO	HP:0000142	Abnormality of the vagina
C0034895	Rectovaginal Fistula	HPO	HP:0000143	Rectovaginal fistula
C0520927	Decreased fertility	HPO	HP:0000144	Decreased fertility
C1856006	Transverse vaginal septum	HPO	HP:0000145	Transverse vaginal septum
C0032460	Polycystic Ovary Syndrome	HPO	HP:0000147	Polycystic ovaries
C1136382	Sclerocystic Ovaries	HPO	HP:0000147	Polycystic ovaries
C1321884	Atresia of vagina	HPO	HP:0000148	Vaginal atresia
C1518716	Ovarian gonadoblastoma	HPO	HP:0000149	Ovarian gonadoblastoma
C0206661	Gonadoblastoma	HPO	HP:0000150	Gonadoblastoma
C0425913	Uterus absent (finding)	HPO	HP:0000151	Aplasia of the uterus
C0026633	Mouth Abnormalities	HPO	HP:0000153	Abnormality of the mouth
C0024433	Macrostomia	HPO	HP:0000154	Wide mouth
C0149745	Oral Ulcer	HPO	HP:0000155	Mouth sore
C0024421	Macroglossia	HPO	HP:0000158	Lingual hyperplasia
C0026034	Microstomia	HPO	HP:0000160	Narrow mouth
C1850256	Median cleft lip	HPO	HP:0000161	Median cleft lip
C0267048	Glossoptosis	HPO	HP:0000162	Posterior displacement of the tongue
C4280678	Posterior displacement of the tongue	HPO	HP:0000162	Posterior displacement of the tongue
C4025887	Abnormality of the oral cavity	HPO	HP:0000163	Abnormality of the oral cavity
C0040427	Tooth Abnormalities	HPO	HP:0000164	Tooth abnormalities
C0262444	Dental abnormalities	HPO	HP:0000164	Tooth abnormalities
C4025886	Severe periodontitis	HPO	HP:0000166	Severe gum disease
C4021816	Abnormality of the gingiva	HPO	HP:0000168	Abnormality of the gingiva
C0016049	Fibromatosis, Gingival	HPO	HP:0000169	Hereditary gingival fibromatosis
C0399440	Hereditary gingival fibromatosis	HPO	HP:0000169	Hereditary gingival fibromatosis
C4280677	Idiopathic gingival hyperplasia	HPO	HP:0000169	Hereditary gingival fibromatosis
C0025988	Microglossia	HPO	HP:0000171	Microglossia
C0426492	Small tongue	HPO	HP:0000171	Microglossia
C4021815	Abnormality of the palate	HPO	HP:0000174	Abnormality of the palate
C0008925	Cleft Palate	HPO	HP:0000175	Cleft palate
C2981150	Uranostaphyloschisis	HPO	HP:0000175	Cleft palate
C0432103	Submucous cleft of hard palate	HPO	HP:0000176	Submucous clefting
C4020894	Submucous clefting	HPO	HP:0000176	Submucous clefting
C4025884	Abnormality of upper lip	HPO	HP:0000177	Deformity of the upper lip
C1839739	Prominent lower lip	HPO	HP:0000179	Thick red part of the lower lip
C2053437	Full lower lip	HPO	HP:0000179	Thick red part of the lower lip
C0431564	Lobulated tongue	HPO	HP:0000180	Lobulated tongue
C1853406	Difficulty in tongue movements	HPO	HP:0000183	Hypokinesia of the tongue
C4280676	Hypokinesia of the tongue	HPO	HP:0000183	Hypokinesia of the tongue
C0432098	Cleft Soft Palate	HPO	HP:0000185	Cleft soft palate
C1857500	Broad alveolar ridges	HPO	HP:0000187	Wide gum ridges
C4280675	Broad alveolar processes of jaw	HPO	HP:0000187	Wide gum ridges
C1848977	Short upper lip	HPO	HP:0000188	Short upper lip
C1398312	Narrow palate	HPO	HP:0000189	Narrow palate
C4025881	Abnormality of oral frenula	HPO	HP:0000190	Abnormality of oral frenula
C4021814	Accessory oral frenulum	HPO	HP:0000191	Accessory oral frenulum
C0266122	Cleft uvula	HPO	HP:0000193	Bifid uvula
C0240379	Open mouth	HPO	HP:0000194	Open mouth appearance
C1861544	Lower lip pits	HPO	HP:0000196	Lower lip pit
C1858569	Absence of Stensen duct	HPO	HP:0000198	Agenesis of parotid duct
C4280674	Agenesis of parotid duct	HPO	HP:0000198	Agenesis of parotid duct
C0241438	Tongue nodules	HPO	HP:0000199	Tongue nodules
C0426501	Short frenulum of tongue	HPO	HP:0000200	Hypoplasia of lingual frenulum
C4280673	Hypoplasia of lingual frenulum	HPO	HP:0000200	Hypoplasia of lingual frenulum
C0031900	Pierre Robin Syndrome	HPO	HP:0000201	Pierre-Robin sequence
C0158646	Cleft palate with cleft lip	HPO	HP:0000202	Cleft lip, cleft palate
C4021813	Oral cleft	HPO	HP:0000202	Cleft lip, cleft palate
C0008924	Cleft Lip	HPO	HP:0000204	Cleft lip
C1832130	Pursed lips	HPO	HP:0000205	Pursed lips
C0017675	Glossitis	HPO	HP:0000206	Glossitis
C1849341	Triangular mouth	HPO	HP:0000207	Triangular mouth
C0041105	Trismus	HPO	HP:0000211	Limited jaw opening
C1848474	Limited jaw opening	HPO	HP:0000211	Limited jaw opening
C4228933	Limited jaw mobility	HPO	HP:0000211	Limited jaw opening
C4280672	Decrease in jaw opening	HPO	HP:0000211	Limited jaw opening
C0017566	Gingival Hyperplasia	HPO	HP:0000212	Gingival overgrowth
C0017567	Gingival Hypertrophy	HPO	HP:0000212	Gingival overgrowth
C0376480	Gingival Overgrowth	HPO	HP:0000212	Gingival overgrowth
C1857697	Lip telangiectases	HPO	HP:0000214	Spider veins of the lip
C4280670	Spider veins of the lip	HPO	HP:0000214	Spider veins of the lip
C4280671	Angioectasias of the lip	HPO	HP:0000214	Spider veins of the lip
C1846423	Thick upper lip vermilion	HPO	HP:0000215	Thick red part of the upper lip
C1839276	Broad secondary alveolar ridge	HPO	HP:0000216	Broad secondary alveolar ridge
C0043352	Xerostomia	HPO	HP:0000217	Decreased salivary flow
C0240635	Byzanthine arch palate	HPO	HP:0000218	High palate
C1865017	Thin upper lip vermilion	HPO	HP:0000219	Thin red part of the upper lip
C0042454	Velopharyngeal Insufficiency	HPO	HP:0000220	Velopharyngeal dysfunction
C4280669	Velopharyngeal dysfunction	HPO	HP:0000220	Velopharyngeal dysfunction
C0040412	Fissured tongue	HPO	HP:0000221	Furrowed tongue
C1857013	Gingival hyperkeratosis	HPO	HP:0000222	Gingival hyperkeratosis
C0151934	Hypogeusia	HPO	HP:0000224	Decreased taste sensation
C0017565	Gingival Hemorrhage	HPO	HP:0000225	Gingival bleeding
C4025878	Tongue telangiectasia	HPO	HP:0000227	Angioectasias of the tongue
C4280668	Angioectasias of the tongue	HPO	HP:0000227	Angioectasias of the tongue
C0017574	Gingivitis	HPO	HP:0000230	Gingivitis
C1853246	Everted lower lip vermilion	HPO	HP:0000232	Protruding lower lip
C1866234	Protruding lower lip	HPO	HP:0000232	Protruding lower lip
C0578038	Thin lips	HPO	HP:0000233	Thin vermilion borders
C4021812	Abnormality of the head	HPO	HP:0000234	Abnormality of the head
C4025876	Abnormality of the fontanelles or cranial sutures	HPO	HP:0000235	Abnormality of the fontanelles or cranial sutures
C1859455	Small anterior fontanelle	HPO	HP:0000237	Small anterior fontanelle
C0020255	Hydrocephalus	HPO	HP:0000238	Hydrocephalus
C0456132	Large fontanelle	HPO	HP:0000239	Large bregma sutures
C4072820	Large bregma sutures	HPO	HP:0000239	Large bregma sutures
C4072821	Large, late-closing fontanelle	HPO	HP:0000239	Large bregma sutures
C4072822	Wide bregma sutures	HPO	HP:0000239	Large bregma sutures
C1857126	Parietal bossing	HPO	HP:0000242	Parietal bossing
C0265535	Trigonocephaly	HPO	HP:0000243	Wedge shaped head
C4280665	Wedge shaped head	HPO	HP:0000243	Wedge shaped head
C4280666	Triangular head shape	HPO	HP:0000243	Wedge shaped head
C1857484	Brachyturricephaly	HPO	HP:0000244	Brachyturricephaly
C0030469	Paranasal Sinus Diseases	HPO	HP:0000246	Sinus disease
C0037199	Sinusitis	HPO	HP:0000246	Sinus disease
C0221356	Brachycephaly	HPO	HP:0000248	Broad cranium shape
C4072823	Broad cranium shape	HPO	HP:0000248	Broad cranium shape
C4072824	Wide skull shape	HPO	HP:0000248	Broad cranium shape
C1854834	Dense calvaria	HPO	HP:0000250	Dense calvaria
C0424688	Small head	HPO	HP:0000252	Small head
C1850456	Progressive microcephaly	HPO	HP:0000253	Progressive microcephaly
C4083076	Increased head circumference	HPO	HP:0000256	Big head
C4255213	Increased size of skull	HPO	HP:0000256	Big head
C4280663	Increased size of cranium	HPO	HP:0000256	Big head
C4280664	Big calvaria	HPO	HP:0000256	Big head
C1866134	Wide anterior fontanel	HPO	HP:0000260	Large anterior fontanels
C0030044	Acrocephaly	HPO	HP:0000262	Tall shaped head
C0030044	Acrocephaly	HPO	HP:0000263	Acrocephaly
C4025872	Abnormality of the mastoid	HPO	HP:0000264	Abnormality of the mastoid
C0024904	Mastoiditis	HPO	HP:0000265	Mastoiditis
C1860245	Cranial asymmetry	HPO	HP:0000267	Asymmetry of head
C4280258	Asymmetry of head	HPO	HP:0000267	Asymmetry of head
C4280657	Malformation of head shape	HPO	HP:0000267	Asymmetry of head
C4280658	Malformation of cranium shape	HPO	HP:0000267	Asymmetry of head
C4280659	Malformation of cranial vault shape	HPO	HP:0000267	Asymmetry of head
C4280660	Abnormality of head shape	HPO	HP:0000267	Asymmetry of head
C4280661	Abnormality of cranium shape	HPO	HP:0000267	Asymmetry of head
C4280662	Abnormality of cranial vault shape	HPO	HP:0000267	Asymmetry of head
C0221358	Long narrow head	HPO	HP:0000268	Large dolichocephalic skull
C4280653	Turridolichocephaly	HPO	HP:0000268	Large dolichocephalic skull
C4280654	Narrow skull shape	HPO	HP:0000268	Large dolichocephalic skull
C4280655	Narrow head shape	HPO	HP:0000268	Large dolichocephalic skull
C4280656	Narrow cranium shape	HPO	HP:0000268	Large dolichocephalic skull
C1853737	Prominent occiput	HPO	HP:0000269	Prominent back of the head
C4280652	Prominent back of the head	HPO	HP:0000269	Prominent back of the head
C0277828	Late fontanel closure	HPO	HP:0000270	Delayed cranial suture closure
C0266617	Congenital anomaly of face	HPO	HP:0000271	Anomaly of the face
C1290857	Disorder of face	HPO	HP:0000271	Anomaly of the face
C4025871	Abnormality of the face	HPO	HP:0000271	Anomaly of the face
C1858085	Malar flattening	HPO	HP:0000272	Hypotrophic malar bone
C4280651	Hypotrophic malar bone	HPO	HP:0000272	Hypotrophic malar bone
C0234853	Facial grimacing	HPO	HP:0000273	Facial grimacing
C1855538	Small face	HPO	HP:0000274	Small face
C1837463	Narrow face	HPO	HP:0000275	Thin face
C1849121	Thin face	HPO	HP:0000275	Thin face
C1836047	Long face	HPO	HP:0000276	Long face
C3494422	Retrognathia	HPO	HP:0000278	Retrogenia
C1845847	Coarse facial features	HPO	HP:0000280	Rounded and heavy facial features
C4072825	Thickened facial skin with coarse facial features	HPO	HP:0000280	Rounded and heavy facial features
C0542571	Facial edema	HPO	HP:0000282	Facial edema
C1859680	Broad face	HPO	HP:0000283	Broad face
C0678230	Congenital Epicanthus	HPO	HP:0000286	Epicanthus
C4025868	Increased facial adipose tissue	HPO	HP:0000287	Facial fat hypertrophy
C4280649	Facial fat hypertrophy	HPO	HP:0000287	Facial fat hypertrophy
C4280650	Facial fat hyperplasia	HPO	HP:0000287	Facial fat hypertrophy
C1857045	Abnormal philtrum	HPO	HP:0000288	Abnormality of the philtrum
C1854111	Broad philtrum	HPO	HP:0000289	Broad philtrum
C4025867	Abnormality of the forehead	HPO	HP:0000290	Malformation of the forehead
C1837767	Loss of facial adipose tissue	HPO	HP:0000292	Loss of facial adipose tissue
C1866231	Full cheeks	HPO	HP:0000293	Chubby cheeks
C2748653	Chubby cheeks	HPO	HP:0000293	Chubby cheeks
C3806443	Puffy cheeks	HPO	HP:0000293	Chubby cheeks
C4280647	Hypertrophy of cheeks	HPO	HP:0000293	Chubby cheeks
C4280648	Hyperplasia of cheeks	HPO	HP:0000293	Chubby cheeks
C1842366	Low anterior hairline	HPO	HP:0000294	Low anterior hairline
C1856361	Doll-like facies	HPO	HP:0000295	Doll-like facies
C1845251	Facial hypotonia	HPO	HP:0000297	Atony of facial musculature
C4280646	Atony of facial musculature	HPO	HP:0000297	Atony of facial musculature
C0424448	Mask-like facies	HPO	HP:0000298	Mask-like facies
C1849025	Oval face	HPO	HP:0000300	Oval face
C0302501	Mandibular hyperplasia	HPO	HP:0000303	Increased size of mandible
C0399526	Class III malocclusion	HPO	HP:0000303	Increased size of mandible
C2227134	mandibular excess (physical finding)	HPO	HP:0000303	Increased size of mandible
C4280644	Increased size of mandible	HPO	HP:0000303	Increased size of mandible
C4280645	Hypertrophy of lower jaw	HPO	HP:0000303	Increased size of mandible
C1844505	Pointed chin	HPO	HP:0000307	Pointed chin
C1839546	Microretrognathia	HPO	HP:0000308	Microretrognathia
C0239479	Round face	HPO	HP:0000311	Round, full face
C1856468	Round, full face	HPO	HP:0000311	Round, full face
C0020534	Orbital separation excessive	HPO	HP:0000316	Hypertelorism
C0270871	Facial Myokymia	HPO	HP:0000317	Facial myokymia
C1142533	Smooth philtrum	HPO	HP:0000319	Smooth philtrum
C1837758	Bird-like facies	HPO	HP:0000320	Bird-like facies
C1832127	Square face	HPO	HP:0000321	Square face
C1861324	Short philtrum	HPO	HP:0000322	Short philtrum
C1306710	Facial asymmetry	HPO	HP:0000324	Unbalanced face
C1835884	Triangular face	HPO	HP:0000325	Triangular face
C0240310	Hypoplasia of the maxilla	HPO	HP:0000327	Retrognathia of upper jaw
C4082243	Maxillary retrognathia	HPO	HP:0000327	Retrognathia of upper jaw
C4280640	Retrusion of upper jaw bones	HPO	HP:0000327	Retrognathia of upper jaw
C4280641	Hypotrophic maxilla	HPO	HP:0000327	Retrognathia of upper jaw
C4280642	Deficiency of upper jaw bones	HPO	HP:0000327	Retrognathia of upper jaw
C4280643	Decreased projection of maxilla	HPO	HP:0000327	Retrognathia of upper jaw
C1861443	Facial hemangioma	HPO	HP:0000329	Facial hemangioma
C1839323	Small chin	HPO	HP:0000331	Small chin
C3697248	Short lower third of face	HPO	HP:0000331	Small chin
C1842060	Prominent supraorbital ridges	HPO	HP:0000336	Hypertrophy of supraorbital ridge
C4280636	Hypertrophy of supraorbital ridge	HPO	HP:0000336	Hypertrophy of supraorbital ridge
C4280637	Hypertrophy of supraorbital margins	HPO	HP:0000336	Hypertrophy of supraorbital ridge
C4280638	Hyperplasia of supraorbital ridge	HPO	HP:0000336	Hypertrophy of supraorbital ridge
C4280639	Hyperplasia of supraorbital margins	HPO	HP:0000336	Hypertrophy of supraorbital ridge
C1849089	Broad forehead	HPO	HP:0000337	Broad forehead
C0813217	Expressionless face	HPO	HP:0000338	Decreased facial expressions
C1862474	Decreased facial expression	HPO	HP:0000338	Decreased facial expressions
C4280635	Decreased facial muscle movement	HPO	HP:0000338	Decreased facial expressions
C1846011	'Pugilistic facies'	HPO	HP:0000339	Pugilistic facies
C1857679	Sloping forehead	HPO	HP:0000340	Sloping forehead
C1839758	Narrow forehead	HPO	HP:0000341	Narrow forehead
C1865014	Long philtrum	HPO	HP:0000343	Long philtrum
C1848473	'Whistling' appearance	HPO	HP:0000346	Whistling appearance
C0025990	Micrognathism	HPO	HP:0000347	Micrognathia
C0240295	Mandibular hypoplasia	HPO	HP:0000347	Micrognathia
C1857130	Hypoplastic mandible condyle	HPO	HP:0000347	Micrognathia
C0239676	High forehead	HPO	HP:0000348	Tall forehead
C2677762	Tall forehead	HPO	HP:0000348	Tall forehead
C1853486	WIDOW'S PEAK	HPO	HP:0000349	Widow's peak
C1845250	Small forehead	HPO	HP:0000350	Hypotrophic forehead
C4280633	Hypotrophic forehead	HPO	HP:0000350	Hypotrophic forehead
C4280634	Hypoplasia of forehead	HPO	HP:0000350	Hypotrophic forehead
C0266589	Congenital ear anomaly NOS (disorder)	HPO	HP:0000356	Abnormality of the outer ear
C1846460	Malformed pinnae	HPO	HP:0000356	Abnormality of the outer ear
C0431478	Posteriorly rotated ear	HPO	HP:0000358	Posteriorly rotated ears
C4021809	Abnormality of the inner ear	HPO	HP:0000359	Abnormality of the inner ear
C0040264	Tinnitus	HPO	HP:0000360	Tinnitus
C0029899	Otosclerosis	HPO	HP:0000362	Otosclerosis
C4021808	Abnormality of earlobe	HPO	HP:0000363	Abnormality of earlobe
C4025860	Hearing abnormality	HPO	HP:0000364	Hearing abnormality
C0011053	Deafness	HPO	HP:0000365	Hypoacusis
C0018772	Hearing Loss, Partial	HPO	HP:0000365	Hypoacusis
C0339789	Congenital deafness	HPO	HP:0000365	Hypoacusis
C1384666	hearing impairment	HPO	HP:0000365	Hypoacusis
C0240547	Nose deformity	HPO	HP:0000366	Deformity of the nose
C0265736	Congenital anomaly of nose	HPO	HP:0000366	Deformity of the nose
C2235909	Malformation of the nose	HPO	HP:0000366	Deformity of the nose
C1857486	Low-set, posteriorly rotated ears	HPO	HP:0000368	Low-set, posteriorly rotated ears
C0239234	Low set ears	HPO	HP:0000369	Low-set ears
C1861141	Middle ear abnormalities	HPO	HP:0000370	Abnormality of the middle ear
C0271429	Acute otitis media	HPO	HP:0000371	Acute otitis media
C4025858	Abnormality of cochlea	HPO	HP:0000375	Abnormality of cochlea
C1857078	Mondini malformation	HPO	HP:0000376	Mondini malformation
C4025857	Incomplete partition of the cochlea type II	HPO	HP:0000376	Mondini malformation
C0431483	Simple ear	HPO	HP:0000377	Abnormality of the pinna
C0857379	Auricular malformation	HPO	HP:0000377	Abnormality of the pinna
C1845447	Cupped ears (finding)	HPO	HP:0000378	Cupped ears
C4020892	Capuchin ears	HPO	HP:0000378	Cupped ears
C1861326	Stapes ankylosis	HPO	HP:0000381	Stapes ankylosis
C1860816	Preauricular skin tag	HPO	HP:0000384	Skin tag in front of the ear
C4072826	Skin tag on the posterior cheek	HPO	HP:0000384	Skin tag in front of the ear
C1842680	Hypoplastic lobules	HPO	HP:0000385	Small earlobe
C1849364	Absent earlobe	HPO	HP:0000387	Absent earlobe
C0029882	Otitis Media	HPO	HP:0000388	Otitis media
C0271441	Chronic otitis media	HPO	HP:0000389	Chronic middle ear infection
C0743359	ear infection chronic	HPO	HP:0000389	Chronic middle ear infection
C1837732	Thickened helices	HPO	HP:0000391	Thickened helices
C0266614	Bat ear	HPO	HP:0000394	Lop ear
C1845272	Prominent antihelix	HPO	HP:0000395	Prominent antihelix
C1837731	Overfolded helix	HPO	HP:0000396	Overfolded helix
C4021806	Prelingual sensorineural hearing impairment	HPO	HP:0000399	Prelingual sensorineural hearing impairment
