accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs001194.v2.p2","Pediatric Cardiac Genomics Consortium (PCGC) Study","Multi-center, prospective observational cohort study of individuals with congenital heart defects (CHD). Phenotypic data and source DNA derived from 10,000 probands, parents, and families of interest are being collected  to investigate relationships between genetic factors and phenotypic and clinical outcomes in patients with CHD. The PCGC Cohort is utilized in the","Heart Defects, Congenital","Prospective Longitudinal Cohort","HumanOmni1-Quad_v1-0_B, HumanOmni25-8v1, HumanOmni2.5-8v1_A, HumanOmni2.5-8v1.1","Not Applicable","Not Provided","20 phenotype datasets, 435 variables, 2 molecular datasets, 9463 subjects, 11829 samples, 1 sub-studies","","NHLBI","HMB --- Health/medical/biomedical , DS-CHD --- Disease-specific (congenital heart disease)","2018-09-14","2017-11-09","Abnormalities, Heart; Abnormality of cardiac morphology; Abnormality of the heart; Abnormality, Heart; Cardiac abnormalities; Cardiac abnormality"
"phs001238.v2.p1","Genetic Epidemiology Network of Arteriopathy (GENOA)","The Genetic Epidemiology Network of Arteriopathy (GENOA) is one of four networks in the NHLBI Family-Blood Pressure Program (FBPP). GENOA's long-term objective is to elucidate the genetics of target  organ complications of hypertension, including both atherosclerotic and arteriolosclerotic complications involving the heart, brain, kidneys, and","Hypertension","Prospective Longitudinal Cohort","Human1M-Duov3_H, Genome-Wide_Human_SNP_Array_6_0, Human660W-Quad_v1_H, Human1M-Duov3_H, Genome-Wide_Human_SNP_Array_6_0","Not Applicable","Not Provided","39 phenotype datasets, 1118 variables, 1 documents, 1 molecular datasets, 3462 subjects, 3039 samples, 1 sub-studies","","NHLBI","DS-ASC-RF-NPU --- Disease-specific (arteriosclerosis and its risk factors, npu)","2018-08-08","2017-09-08","Aging, Biological; Biological Aging; Arterial Pressure, Mean; Arterial Pressures, Mean; MAP - Mean arterial pressure; MBP - Mean blood pressure"
"phs000102.v1.p1","Ischemic Stroke Genetics Study (ISGS)","The third leading cause of death in the United States, stroke is an acute neurological event leading to death of neural tissues. Although the majority of strokes are ischemic  strokes, meaning there is oxygen deprivation to the brain, almost 20% of strokes are hemorrhagic, resulting from bleeding into the brain. Stroke is a","Cerebrovascular Disorders","Case-Control","Illumina100K","Not Applicable","SNP Genotypes (Array)","2 phenotype datasets, 74 variables, 5 documents, 1 analyses, 1 molecular datasets, 485 subjects, 485 samples","European (481), African American (1), Hispanic1 (2), Hispanic2 (1)","NINDS","GRU --- General research use , SARD --- Stroke and related disorders","2008-06-26","2008-06-26","Brain Ischemias; Brain ischemia; Cerebrovascular ischemia; Encephalopathy, Ischemic; Ischemia, Brain; Ischemic Encephalopathies"
"phs000128.v3.p3","GAW16 Framingham and Simulated Data","Important links to apply for individual-level data 1. Genetic Analysis Workshop 2. Instructions to Request Authorized Access 3. Data Use Certification Requirements (DUC) 4. Apply here for controlled access  to individual level data 5. Research Use Statement Questions regarding GAW16 should be directed to Vanessa Olmo at vanessa@business-endeavors.com","Coronary Disease","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","207 phenotype datasets, 6582 variables, 6 documents, 2 molecular datasets, 14275 subjects, 7096 samples","","NHLBI","HMB-IRB-MDS --- Health/medical/biomedical (irb, mds)","2010-07-28","2008-10-19","CHD - Coronary heart disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs000188.v1.p1","Vanderbilt Genome-Electronic Records (VGER) Project: QRS Duration","An important potential enabling resource for Personalized Medicine is the combination of a DNA repository with Electronic Medical Record (EMR) systems sufficiently robust to provide excellence in clinical care  and to serve as resources for analysis of disease susceptibility and therapeutic outcomes across patient populations. The Vanderbilt EMR is a state","Heart Conduction System","Case Set","Human660W-Quad_v1_A","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 36 variables, 1 molecular datasets, 3021 subjects, 3203 samples","European (2501), African (8), East Asian (4), African American (469), Hispanic1 (12), Hispanic2 (9), Other Asian or Pacific Islander (7), South Asian (4), Other (7)","NHGRI","HR_VU --- Health research - vanderbilt u , HR_NWU --- Health research - northwestern u","2010-10-08","2011-10-08",""
"phs000203.v1.p1","A Genome-Wide Association Study of Peripheral Arterial Disease","The Electronic Medical Record Phenotypes and Community-engaged Genomic Association Study aims to identify genetic variants mediating susceptibility to peripheral arterial disease (PAD). The study leverages a biorepository of blood  samples of 1688 PAD cases and 1649 controls, and the electronic medical record (EMR) to annotate the biorepository. PAD cases were identified from","Peripheral Vascular Diseases","Case-Control","Human660W-Quad_v1_A","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 44 variables, 3 documents, 1 molecular datasets, 3337 subjects, 3432 samples","European (3298), African (2), East Asian (2), African American (14), Hispanic1 (1), Hispanic2 (13), South Asian (6), Other (1)","NHGRI","HR_MYO --- Health research - mayo clinic","2010-11-05","2011-11-05","Angiopathies, Peripheral; Angiopathy, Peripheral; Diseases, Peripheral Vascular; PVD-peripheral vascular disease; Peripheral Angiopathies; Peripheral Angiopathy"
"phs000221.v1.p1","NHLBI Family Heart Study (FamHS)","The Family Heart Study (FamHS) was funded by the National Heart, Lung, and Blood Institute (NHLBI). It was begun in 1992 with the ascertainment of 1,200 families, half randomly  sampled, and half selected because of an excess of coronary heart disease (CHD) or risk factor abnormalities as compared with age- and sex-specific","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","99 analyses","","NHLBI","GRU --- General research use","2011-06-21","","Atherogenesis; CHD - Coronary heart disease; Coronary Disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases"
"phs000279.v2.p1","NHLBI GO-ESP: Early-Onset Myocardial Infarction (Broad EOMI)","The NHLBI ""Grand Opportunity"" Exome Sequencing Project (GO-ESP), a signature project of the NHLBI Recovery Act investment, was designed to identify genetic variants in coding regions (exons) of the  human genome (the ""exome"") that are associated with heart, lung and blood diseases. These and related diseases that are of high impact to public","Myocardial Infarction","Prospective Longitudinal Cohort","exome_vcf_grc37, exome_vcf_ESP6800","Not Applicable","SNP Genotypes (NGS), SNP/CNV Genotypes (NGS), WXS","4 phenotype datasets, 30 variables, 2 molecular datasets,  SRA, 736 subjects, 727 samples","","NHLBI","DS-CVD --- Disease-specific (cardiovascular disease)","2013-10-25","2016-04-12","Cardiac infarction; Cardiovascular Stroke; Cardiovascular Strokes; Heart Attack; Infarct, Myocardial; Infarction of heart"
"phs000290.v1.p1","NHLBI GO-ESP: Lung Cohorts Exome Sequencing Project (Pulmonary Arterial    Hypertension)","The NHLBI ""Grand Opportunity"" Exome Sequencing Project (GO-ESP), a signature project of the NHLBI Recovery Act investment, was designed to identify genetic variants in coding regions (exons) of the  human genome (the ""exome"") that are associated with heart, lung and blood diseases. These and related diseases that are of high impact to public","Hypertension, Pulmonary","Case-Control","exome_vcf_grc37, exome_vcf_ESP6800","Not Applicable","SNP Genotypes (NGS), WXS","4 phenotype datasets, 20 variables, 2 molecular datasets,  SRA, 96 subjects, 94 samples","","NHLBI","GRU --- General research use","2011-09-06","2011-12-06","Diffuse Scleroderma; Diffuse Sclerosis; SS - Systemic sclerosis; Scleroderma syndrome; Scleroderma, Diffuse; Scleroderma, Systemic"
"phs000292.v1.p1","GENEVA Genetics of Early Onset Stroke (GEOS) Study","The Genetics of Early Onset Stroke (GEOS) Study is a population-based case-control study designed to identify genes associated with early-onset ischemic stroke and to characterize interactions of identified stroke  genes and/or SNPs with environmental risk factors such as smoking and oral contraceptive use. The GEOS study consists of 921 ischemic stroke cases","Stroke","Case-Control","HumanOmni1-Quad_v1-0_B, 1000G_ref_panel","Not Applicable","SNP Genotypes (Array), SNP Genotypes (imputed)","4 phenotype datasets, 33 variables, 4 documents, 3 molecular datasets, 1862 subjects, 1949 samples","European (990), African (34), East Asian (9), African American (723), Hispanic1 (10), Hispanic2 (13), Other Asian or Pacific Islander (6), South Asian (16), Other (16)","NHGRI","STROKE --- Genetic studies of stroke , MEDCOND --- Studies of genes for medical conditions","2010-08-06","2011-08-06","Apoplexy; Apoplexy, Cerebrovascular; Brain Vascular Accident; Brain Vascular Accidents; CEREBROVASCULAR ACCIDENT; CVA (Cerebrovascular Accident)"
"phs000293.v1.p1","The Familial Intracranial Aneurysm Linkage Study (FIA)","Our long-term objective is to identify susceptibility genes that are related to the formation of intracranial aneurysms (IA). Rupture of IAs occurs in 16,000 to 17,000 persons in the  U.S. annually and nearly half of affected persons are dead within the first 30 days. An additional 6,000 to 7,000 persons with unruptured IAs are","Intracranial Aneurysm","Family/Twin/Trios","HumanLinkage-12","Not Applicable","SNP Genotypes (Array)","5 phenotype datasets, 28 variables, 16 documents, 1 molecular datasets, 2507 subjects, 2073 samples","","NINDS","GRU --- General research use","2013-07-26","2014-07-26","Aneurysm, Middle Cerebral Artery; Middle Cerebral Artery Aneurysm"
"phs000294.v1.p1","STAMPEED: Myocardial Infarction Genetics Consortium (MIGen)","Myocardial infarction (MI) is a common complex disease and the leading cause of death and disability worldwide. The genetic basis of this disease is largely unknown. It has been  thought that early-onset MI events would have a substantially greater heritability, thus making DNA collections with younger individuals desirable","Myocardial Infarction","Case-Control","Genome-Wide_Human_SNP_Array_6.0","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 29 variables, 1 molecular datasets, 6042 subjects, 6042 samples","European (5943), African (3), African American (35), Hispanic1 (9), Hispanic2 (20), Other Asian or Pacific Islander (3), South Asian (9), Other (20)","NHLBI","GRU --- General research use","2010-08-24","2010-08-24","Cardiac infarction; Cardiovascular Stroke; Cardiovascular Strokes; Heart Attack; Infarct, Myocardial; Infarction of heart"
"phs000297.v1.p1","eMERGE Network Study of Resistant Hypertension","The electronic Medical Records and Genomics (eMERGE) Network is a consortium of five participating sites (Group Health Seattle, Marshfield Clinic, Mayo Clinic, Northwestern University, and Vanderbilt University) funded by  the NHGRI to investigate the use of electronic medical record systems for genomic research. The goal of eMERGE is to conduct genome-wide association","Hypertension","Case-Control","Human1M-Duov3_B, Human660W-Quad_v1_A","Not Applicable","SNP Genotypes (Array)","4 phenotype datasets, 29 variables, 1 molecular datasets, 5281 subjects, 5491 samples","European (4097), African (26), East Asian (19), African American (1057), Hispanic1 (25), Hispanic2 (24), Other Asian or Pacific Islander (9), South Asian (8), Other (7)","NHGRI","HR_GHS --- Health research - group health seattle , AGING_GHS --- Dementia or aging - group health seattle , HR_MC --- Health research - marshfield clinic , HR_VU --- Health research - vanderbilt u , HR_MYO --- Health research - mayo clinic , HR_NWU --- Health research - northwestern u","2012-09-26","2013-09-26","Arterial hypertension; BP - High blood pressure; BP+ - Hypertension; Blood Pressure, High; Blood Pressures, High; Elevated blood pressure"
"phs000313.v4.p2","SardiNIA Medical Sequencing Discovery Project","The SardiNIA Medical Sequencing Discovery Project studies the genetics of blood lipid levels and personality in a Sardinian population cohort. The project has generated draft genome sequences for approximately  2,000 individuals using whole genome shotgun sequencing. The draft sequences will allow investigators to evaluate the contribution of common and rare","Cardiovascular Diseases","Family/Twin/Trios","Not Provided","Not Applicable","WGS","5 phenotype datasets, 24 variables,  SRA, 2105 subjects, 2077 samples","","NIA","GRU-IRB --- General research use (irb)","2017-12-05","2011-10-20","Behavior and Behavior Mechanisms"
"phs000327.v1.p1","NHLBI GO-ESP: Heart Cohorts Exome Sequencing Project (SWISS)","The NHLBI ""Grand Opportunity"" Exome Sequencing Project (GO-ESP), a signature project of the NHLBI Recovery Act investment, was designed to identify genetic variants in coding regions (exons) of the  human genome (the ""exome"") that are associated with heart, lung and blood diseases. These and related diseases that are of high impact to public","Stroke","Family/Twin/Trios","exome_vcf_grc37, exome_vcf_ESP6800","Not Applicable","SNP Genotypes (NGS), WXS","5 phenotype datasets, 44 variables, 2 molecular datasets,  SRA, 94 subjects, 94 samples","","NHLBI","DS-STK-IRB-RD --- Disease specific (stroke and related disorders)","2013-03-25","2013-06-25","Apoplexy; Apoplexy, Cerebrovascular; Brain Vascular Accident; Brain Vascular Accidents; CEREBROVASCULAR ACCIDENT; CVA (Cerebrovascular Accident)"
"phs000338.v1.p1","National Institute on Aging (NIA) SardiNIA Study","Sardinia is the second largest island in the Mediterranean and constitutes a genetically isolated founder population. This population has aided in the identification of genes involved in several Mendelian  disorders and is attractive for genetic studies due to its organization in long-established settlements that developed from an initial group of","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","98 analyses","","NIA","GRU --- General research use","2011-04-26","","Acceptance Process; Acceptance Processes; Process, Acceptance; Processes, Acceptance; Circulating Lipoproteins; Lipoprotein"
"phs000343.v3.p1","The Genomics and Randomized Trials Network (GARNET) Vitamin Intervention    Stroke Prevention (VISP) trial","The VISP trial (PI Jim Toole, M.D., Wake Forest University School of Medicine) was a multi-center, double-blind, randomized, controlled clinical trial that enrolled patients aged 35 or older with  Hcy levels above the 25th percentile at screening and a non-disabling cerebral infarction (NDCI) within 120 days of randomization [Toole, 2002]. The","Stroke","Case-Control","HumanOmni1-Quad_v1-0_B","Not Applicable","SNP Genotypes (Array), SNP Genotypes (imputed)","39 phenotype datasets, 1918 variables, 50 documents, 2 molecular datasets, 2164 subjects, 2177 samples","European (1720), African (16), East Asian (18), African American (246), Hispanic1 (12), Hispanic2 (54), Other Asian or Pacific Islander (7), South Asian (16), Other (11)","NHGRI","SR --- Stroke research","2013-06-11","2014-06-11","CHD - Coronary heart disease; Coronary Disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary"
"phs000347.v1.p1","NHLBI GO-ESP: Family Studies (Aortic Disease)","The NHLBI ""Grand Opportunity"" Exome Sequencing Project (GO-ESP), a signature project of the NHLBI Recovery Act investment, was designed to identify genetic variants in coding regions (exons) of the  human genome (the ""exome"") that are associated with heart, lung and blood diseases. These and related diseases that are of high impact to public","Aortic Diseases","Family/Twin/Trios","exome_vcf_grc37","Not Applicable","SNP Genotypes (NGS), WXS","4 phenotype datasets, 20 variables, 1 molecular datasets,  SRA, 29 subjects, 29 samples","","NHLBI","GRU-IRB --- General research use (irb)","2013-07-10","2013-10-10",""
"phs000349.v1.p1","SNPs and Extent of Atherosclerosis (SEA) Study","The SEA study is a genome-wide association study to identify genetic variants associated with premature atherosclerosis in subjects included in the Pathobiological Determinants of Atherosclerosis in Youth (PDAY) repository  - a unique NHLBI resource including data, DNA and arterial specimens from over 3000 multi-ethnic subjects 15-34 years of age who died of non","Atherosclerosis","Case-Control","Perlegen_2.4M","Not Applicable","SNP Genotypes (Array)","3 phenotype datasets, 21 variables, 1 documents, 1 molecular datasets, 1068 subjects, 1068 samples","","NHLBI","GRU --- General research use","2011-05-05","2011-05-05","Atherogenesis"
"phs000354.v1.p1","NHLBI GO-ESP Family Studies: Pulmonary Arterial Hypertension","The NHLBI ""Grand Opportunity"" Exome Sequencing Project (GO-ESP), a signature project of the NHLBI Recovery Act investment, was designed to identify genetic variants in coding regions (exons) of the  human genome (the ""exome"") that are associated with heart, lung and blood diseases. These and related diseases that are of high impact to public","Hypertension, Pulmonary","Family/Twin/Trios","exome_vcf_grc37","Not Applicable","SNP Genotypes (NGS), WXS","5 phenotype datasets, 23 variables, 1 molecular datasets,  SRA, 12 subjects, 12 samples","","NHLBI","GRU --- General research use","2013-09-27","2013-12-27","Not Provided"
"phs000362.v1.p1","NHLBI GO-ESP: Family Studies: (Familial Atrial Fibrillation)","The NHLBI ""Grand Opportunity"" Exome Sequencing Project (GO-ESP), a signature project of the NHLBI Recovery Act investment, was designed to identify genetic variants in coding regions (exons) of the  human genome (the ""exome"") that are associated with heart, lung and blood diseases. These and related diseases that are of high impact to public","Atrial Fibrillation","Family/Twin/Trios","exome_vcf_grc37","Not Applicable","SNP Genotypes (NGS), WXS","5 phenotype datasets, 24 variables, 1 molecular datasets,  SRA, 12 subjects, 12 samples","","NHLBI","HMB --- Health/medical/biomedical","2013-08-28","2013-11-28","AF; AF - Atrial fibrillation; Atrial Fibrillations; Auricular Fibrillation; Auricular Fibrillations; Fibrillation, Atrial"
"phs000375.v1.p1","Genome-Wide Association of Platelet Phenotypes","The goal of this study was to identify genetic variants in a genome-wide association study (GWAS) that are associated with previously obtained platelet function phenotypes measured in each individual  under baseline conditions and following 2 weeks of low dose aspirin (ASA). During this study we performed a high density 1 million-SNP genome scan on","Platelet Aggregation","Prospective Longitudinal Cohort","Not Provided","Not Applicable","Not Provided","1 documents, 410 analyses","","NHLBI","NPU --- Non profit research use","2012-02-07","","Blood Physiological Concept; Blood Physiological Concepts; Blood Physiological Phenomena; Blood Physiological Phenomenas; Blood Physiological Phenomenon; Blood Physiology"
"phs000379.v1.p1","Genetic Epidemiology Network of Arteriopathy (GENOA)","The Genetic Epidemiology Network of Arteriopathy (GENOA): GENOA is one of four research networks that form the NHLBI Family Blood Pressure Program (FBPP). From its inception in 1995, GENOA's  long-term objective was to elucidate the genetics of hypertension and its arteriosclerotic target-organ damage, including both atherosclerotic","Peripheral Arterial Disease","Family/Twin/Trios","Not Provided","Not Applicable","Not Provided","1 documents, 19 analyses","","NHLBI","GRU --- General research use","2011-10-05","","Arterioscleroses, Coronary; Arteriosclerosis, Coronary; Arteriosclerotic heart disease; Atheroscleroses, Coronary; Atherosclerosis of coronary artery; Atherosclerosis of native coronary artery"
